# NOAA-derived station slugs -- input for check_beach_coverage.py

South Port Everglades                    | south-port-everglades                         | FL   | USA                  | 8722956 | noaa-auto
South Port Everglades                    | south-port-everglades-fl                      | FL   | USA                  | 8722956 | noaa-auto
Sparkman Channel Entrance                | sparkman-channel                              | FL   | USA                  | 8726671 | noaa-auto
Sparkman Channel Entrance                | sparkman-channel-entrance                     | FL   | USA                  | 8726671 | noaa-auto
Sparkman Channel Entrance                | sparkman-channel-entrance-fl                  | FL   | USA                  | 8726671 | noaa-auto
St. Petersburg                           | st-petersburg                                 | FL   | USA                  | 8726520 | noaa-auto
St. Petersburg                           | st-petersburg-fl                              | FL   | USA                  | 8726520 | noaa-auto
Trident Pier, Port Canaveral             | trident-pier-port-canaveral                   | FL   | USA                  | 8721604 | noaa-auto
Trident Pier, Port Canaveral             | trident-pier-port-canaveral-fl                | FL   | USA                  | 8721604 | noaa-auto
Vaca Key, Florida Bay                    | vaca-key-florida                              | FL   | USA                  | 8723970 | noaa-auto
Vaca Key, Florida Bay                    | vaca-key-florida-bay                          | FL   | USA                  | 8723970 | noaa-auto
Vaca Key, Florida Bay                    | vaca-key-florida-bay-fl                       | FL   | USA                  | 8723970 | noaa-auto
Virginia Key                             | virginia                                      | FL   | USA                  | 8723214 | noaa-auto
Virginia Key                             | virginia-key                                  | FL   | USA                  | 8723214 | noaa-auto
Virginia Key                             | virginia-key-fl                               | FL   | USA                  | 8723214 | noaa-auto
Fort Pulaski                             | fort-pulaski                                  | GA   | USA                  | 8670870 | noaa-auto
Fort Pulaski                             | fort-pulaski-ga                               | GA   | USA                  | 8670870 | noaa-auto
Hilo, Hilo Bay, Kuhio Bay                | hilo-hilo-bay-kuhio                           | HI   | USA                  | 1617760 | noaa-auto
Hilo, Hilo Bay, Kuhio Bay                | hilo-hilo-bay-kuhio-bay                       | HI   | USA                  | 1617760 | noaa-auto
Hilo, Hilo Bay, Kuhio Bay                | hilo-hilo-bay-kuhio-bay-hi                    | HI   | USA                  | 1617760 | noaa-auto
Honolulu                                 | honolulu                                      | HI   | USA                  | 1612340 | noaa-auto
Honolulu                                 | honolulu-hi                                   | HI   | USA                  | 1612340 | noaa-auto
Kahului, Kahului Harbor                  | kahului-kahului                               | HI   | USA                  | 1615680 | noaa-auto
Kahului, Kahului Harbor                  | kahului-kahului-harbor                        | HI   | USA                  | 1615680 | noaa-auto
Kahului, Kahului Harbor                  | kahului-kahului-harbor-hi                     | HI   | USA                  | 1615680 | noaa-auto
Kawaihae                                 | kawaihae                                      | HI   | USA                  | 1617433 | noaa-auto
Kawaihae                                 | kawaihae-hi                                   | HI   | USA                  | 1617433 | noaa-auto
Mokuoloe                                 | mokuoloe                                      | HI   | USA                  | 1612480 | noaa-auto
Mokuoloe                                 | mokuoloe-hi                                   | HI   | USA                  | 1612480 | noaa-auto
Nawiliwili                               | nawiliwili                                    | HI   | USA                  | 1611400 | noaa-auto
Nawiliwili                               | nawiliwili-hi                                 | HI   | USA                  | 1611400 | noaa-auto
Berwick, Atchafalaya River               | berwick-atchafalaya                           | LA   | USA                  | 8764044 | noaa-auto
Berwick, Atchafalaya River               | berwick-atchafalaya-river                     | LA   | USA                  | 8764044 | noaa-auto
Berwick, Atchafalaya River               | berwick-atchafalaya-river-la                  | LA   | USA                  | 8764044 | noaa-auto
Bulk Terminal                            | bulk-terminal                                 | LA   | USA                  | 8767961 | noaa-auto
Bulk Terminal                            | bulk-terminal-la                              | LA   | USA                  | 8767961 | noaa-auto
Calcasieu Pass                           | calcasieu                                     | LA   | USA                  | 8768094 | noaa-auto
Calcasieu Pass                           | calcasieu-pass                                | LA   | USA                  | 8768094 | noaa-auto
Calcasieu Pass                           | calcasieu-pass-la                             | LA   | USA                  | 8768094 | noaa-auto
Carrollton                               | carrollton                                    | LA   | USA                  | 8761955 | noaa-auto
Carrollton                               | carrollton-la                                 | LA   | USA                  | 8761955 | noaa-auto
Eugene Island, North of, Atchafalaya Bay | eugene-island-north-of-atchafalaya            | LA   | USA                  | 8764314 | noaa-auto
Eugene Island, North of, Atchafalaya Bay | eugene-island-north-of-atchafalaya-bay        | LA   | USA                  | 8764314 | noaa-auto
Eugene Island, North of, Atchafalaya Bay | eugene-island-north-of-atchafalaya-bay-la     | LA   | USA                  | 8764314 | noaa-auto
Freshwater Canal Locks                   | freshwater-canal-locks                        | LA   | USA                  | 8766072 | noaa-auto
Freshwater Canal Locks                   | freshwater-canal-locks-la                     | LA   | USA                  | 8766072 | noaa-auto
Grand Isle                               | grand-isle                                    | LA   | USA                  | 8761724 | noaa-auto
Grand Isle                               | grand-isle-la                                 | LA   | USA                  | 8761724 | noaa-auto
Lake Charles                             | lake-charles                                  | LA   | USA                  | 8767816 | noaa-auto
Lake Charles                             | lake-charles-la                               | LA   | USA                  | 8767816 | noaa-auto
LAWMA, Amerada Pass                      | lawma-amerada                                 | LA   | USA                  | 8764227 | noaa-auto
LAWMA, Amerada Pass                      | lawma-amerada-pass                            | LA   | USA                  | 8764227 | noaa-auto
LAWMA, Amerada Pass                      | lawma-amerada-pass-la                         | LA   | USA                  | 8764227 | noaa-auto
Pilots Station East, S.W. Pass           | pilots-station-east-s-w                       | LA   | USA                  | 8760922 | noaa-auto
Pilots Station East, S.W. Pass           | pilots-station-east-s-w-pass                  | LA   | USA                  | 8760922 | noaa-auto
Pilots Station East, S.W. Pass           | pilots-station-east-s-w-pass-la               | LA   | USA                  | 8760922 | noaa-auto
Pilottown                                | pilottown                                     | LA   | USA                  | 8760721 | noaa-auto
Pilottown                                | pilottown-la                                  | LA   | USA                  | 8760721 | noaa-auto
Shell Beach                              | shell                                         | LA   | USA                  | 8761305 | noaa-auto
Shell Beach                              | shell-beach                                   | LA   | USA                  | 8761305 | noaa-auto
Shell Beach                              | shell-beach-la                                | LA   | USA                  | 8761305 | noaa-auto
West Bank 1, Bayou Gauche                | west-bank-1-bayou-gauche                      | LA   | USA                  | 8762482 | noaa-auto
West Bank 1, Bayou Gauche                | west-bank-1-bayou-gauche-la                   | LA   | USA                  | 8762482 | noaa-auto
Chatham                                  | chatham                                       | MA   | USA                  | 8447435 | noaa-auto
Chatham                                  | chatham-ma                                    | MA   | USA                  | 8447435 | noaa-auto
Fall River                               | fall                                          | MA   | USA                  | 8447386 | noaa-auto
Fall River                               | fall-river                                    | MA   | USA                  | 8447386 | noaa-auto
Fall River                               | fall-river-ma                                 | MA   | USA                  | 8447386 | noaa-auto
Nantucket Island                         | nantucket                                     | MA   | USA                  | 8449130 | noaa-auto
Nantucket Island                         | nantucket-island                              | MA   | USA                  | 8449130 | noaa-auto
Nantucket Island                         | nantucket-island-ma                           | MA   | USA                  | 8449130 | noaa-auto
Woods Hole                               | woods-hole                                    | MA   | USA                  | 8447930 | noaa-auto
Woods Hole                               | woods-hole-ma                                 | MA   | USA                  | 8447930 | noaa-auto
Annapolis                                | annapolis                                     | MD   | USA                  | 8575512 | noaa-auto
Annapolis                                | annapolis-md                                  | MD   | USA                  | 8575512 | noaa-auto
Baltimore                                | baltimore                                     | MD   | USA                  | 8574680 | noaa-auto
Baltimore                                | baltimore-md                                  | MD   | USA                  | 8574680 | noaa-auto
Bishops Head                             | bishops-head                                  | MD   | USA                  | 8571421 | noaa-auto
Bishops Head                             | bishops-head-md                               | MD   | USA                  | 8571421 | noaa-auto
Cambridge                                | cambridge                                     | MD   | USA                  | 8571892 | noaa-auto
Cambridge                                | cambridge-md                                  | MD   | USA                  | 8571892 | noaa-auto
Chesapeake City                          | chesapeake-city                               | MD   | USA                  | 8573927 | noaa-auto
Chesapeake City                          | chesapeake-city-md                            | MD   | USA                  | 8573927 | noaa-auto
Ocean City Inlet                         | ocean-city                                    | MD   | USA                  | 8570283 | noaa-auto
Ocean City Inlet                         | ocean-city-inlet                              | MD   | USA                  | 8570283 | noaa-auto
Ocean City Inlet                         | ocean-city-inlet-md                           | MD   | USA                  | 8570283 | noaa-auto
Solomons Island                          | solomons                                      | MD   | USA                  | 8577330 | noaa-auto
Solomons Island                          | solomons-island                               | MD   | USA                  | 8577330 | noaa-auto
Solomons Island                          | solomons-island-md                            | MD   | USA                  | 8577330 | noaa-auto
Tolchester Beach                         | tolchester                                    | MD   | USA                  | 8573364 | noaa-auto
Tolchester Beach                         | tolchester-beach                              | MD   | USA                  | 8573364 | noaa-auto
Tolchester Beach                         | tolchester-beach-md                           | MD   | USA                  | 8573364 | noaa-auto
Bar Harbor                               | bar-harbor                                    | ME   | USA                  | 8413320 | noaa-auto
Bar Harbor                               | bar-harbor-me                                 | ME   | USA                  | 8413320 | noaa-auto
Cutler Farris Wharf                      | cutler-farris                                 | ME   | USA                  | 8411060 | noaa-auto
Cutler Farris Wharf                      | cutler-farris-wharf                           | ME   | USA                  | 8411060 | noaa-auto
Cutler Farris Wharf                      | cutler-farris-wharf-me                        | ME   | USA                  | 8411060 | noaa-auto
Eastport                                 | eastport                                      | ME   | USA                  | 8410140 | noaa-auto
Eastport                                 | eastport-me                                   | ME   | USA                  | 8410140 | noaa-auto
Portland                                 | portland                                      | ME   | USA                  | 8418150 | noaa-auto
Portland                                 | portland-me                                   | ME   | USA                  | 8418150 | noaa-auto
Seavey Island                            | seavey                                        | ME   | USA                  | 8419870 | noaa-auto
Seavey Island                            | seavey-island                                 | ME   | USA                  | 8419870 | noaa-auto
Seavey Island                            | seavey-island-me                              | ME   | USA                  | 8419870 | noaa-auto
Algonac                                  | algonac                                       | MI   | USA                  | 9014070 | noaa-auto
Algonac                                  | algonac-mi                                    | MI   | USA                  | 9014070 | noaa-auto
Alpena                                   | alpena                                        | MI   | USA                  | 9075065 | noaa-auto
Alpena                                   | alpena-mi                                     | MI   | USA                  | 9075065 | noaa-auto
De Tour Village                          | de-tour-village                               | MI   | USA                  | 9075099 | noaa-auto
De Tour Village                          | de-tour-village-mi                            | MI   | USA                  | 9075099 | noaa-auto
Harbor Beach                             | harbor                                        | MI   | USA                  | 9075014 | noaa-auto
Harbor Beach                             | harbor-beach                                  | MI   | USA                  | 9075014 | noaa-auto
Harbor Beach                             | harbor-beach-mi                               | MI   | USA                  | 9075014 | noaa-auto
Holland                                  | holland                                       | MI   | USA                  | 9087031 | noaa-auto
Holland                                  | holland-mi                                    | MI   | USA                  | 9087031 | noaa-auto
Little Rapids                            | little-rapids                                 | MI   | USA                  | 9076033 | noaa-auto
Little Rapids                            | little-rapids-mi                              | MI   | USA                  | 9076033 | noaa-auto
Mackinaw City                            | mackinaw-city                                 | MI   | USA                  | 9075080 | noaa-auto
Mackinaw City                            | mackinaw-city-mi                              | MI   | USA                  | 9075080 | noaa-auto
Menominee                                | menominee                                     | MI   | USA                  | 9087088 | noaa-auto
Menominee                                | menominee-mi                                  | MI   | USA                  | 9087088 | noaa-auto
